gene_id	normalized_counts
MYCTH_2307026	809.1542607
MYCTH_2085453	1186.317208
MYCTH_2302249	2442.114354
MYCTH_2298894	2535.70314
MYCTH_73867	2852.150484
MYCTH_2309471	3038.745985
MYCTH_2297894	3573.780589
MYCTH_2298716	3810.628265
MYCTH_2295745	3893.615035
MYCTH_2030873	3958.086386
MYCTH_2296379	4481.95076
MYCTH_2300411	4506.009717
MYCTH_2314437	4513.826106
MYCTH_2295397	4545.063945
MYCTH_2298096	4639.608991
MYCTH_2306302	4802.0901
MYCTH_2306407	4831.193677
MYCTH_2298355	4914.956541
MYCTH_2314632	5128.382768
MYCTH_2294215	5238.643746
MYCTH_2302517	5296.850899
MYCTH_2311559	5314.229891
MYCTH_2294333	5410.493435
MYCTH_2304257	5630.932238
MYCTH_2296492	5792.720404
MYCTH_2311944	5792.858993
MYCTH_2296068	5839.00895
MYCTH_2311279	5888.900795
MYCTH_2299819	6010.72005
MYCTH_2308630	6097.78132
MYCTH_2302632	6252.612346
MYCTH_2300548	6265.584226
MYCTH_2311850	6441.314392
MYCTH_2306429	6457.529242
MYCTH_2315634	6540.04481
MYCTH_2121955	6570.367965
MYCTH_2308603	6586.63825
MYCTH_2137349	6631.125145
MYCTH_2303134	6817.91467
MYCTH_2305190	6819.71632
MYCTH_2051026	6859.685232
MYCTH_102965	6930.642523
MYCTH_74504	7066.958131
MYCTH_2142129	7136.14149
MYCTH_2294372	7159.479786
MYCTH_2299773	7195.568221
MYCTH_2301721	7314.782013
MYCTH_2310279	7331.329475
MYCTH_80081	7358.104765
MYCTH_2307400	7363.204821
MYCTH_2303524	7454.867227
MYCTH_2296135	7455.56017
MYCTH_2312323	7474.463635
MYCTH_2307698	7500.656854
MYCTH_2308696	7623.612535
MYCTH_2308517	7819.022262
MYCTH_2303934	7939.455633
MYCTH_2297932	7974.379924
MYCTH_2036258	8123.473388
MYCTH_2307312	8192.767618
MYCTH_2303887	8193.599148
MYCTH_2051745	8197.618214
MYCTH_2313559	8274.784268
MYCTH_2078193	8322.264674
MYCTH_2295637	8386.403412
MYCTH_2306968	8467.671685
MYCTH_2297369	8484.385453
MYCTH_84911	8602.490538
MYCTH_2304925	8607.673746
MYCTH_2064467	8691.769223
MYCTH_66088	8743.767613
MYCTH_78119	8883.21532
MYCTH_2307126	8932.026175
MYCTH_83193	8975.376645
MYCTH_2139484	9077.544057
MYCTH_2294596	9163.025418
MYCTH_2299008	9174.611414
MYCTH_2293963	9417.362958
MYCTH_2305979	9484.162595
MYCTH_2308623	9516.897189
MYCTH_2297348	9608.226984
MYCTH_2298626	9665.159123
MYCTH_2308126	9764.360741
MYCTH_2141696	9774.727158
MYCTH_2142867	9884.128888
MYCTH_2057284	9978.867958
MYCTH_2308030	10122.50104
MYCTH_2111167	10270.76297
MYCTH_2303595	10334.29192
MYCTH_2307332	10338.42186
MYCTH_2305597	10406.49651
MYCTH_2295930	10452.11983
MYCTH_2308099	10497.07792
MYCTH_2305356	10520.3885
MYCTH_2311397	10545.97193
MYCTH_2304739	10600.82524
MYCTH_2114926	10641.59797
MYCTH_2297826	10643.56592
MYCTH_2302277	10860.78948
MYCTH_2134135	10906.32964
MYCTH_2299456	10940.17294
MYCTH_2139768	10945.49474
MYCTH_117145	11170.59012
MYCTH_2294366	11194.20559
MYCTH_2300913	11289.30499
MYCTH_2087011	11330.24402
MYCTH_2307178	11344.85124
MYCTH_2298035	11389.19955
MYCTH_2304663	11413.72971
MYCTH_2294415	11439.42401
MYCTH_2308660	11454.80733
MYCTH_2302174	11531.36359
MYCTH_2311545	11541.97947
MYCTH_2296788	11572.94013
MYCTH_108416	11574.52004
MYCTH_2308549	11575.76733
MYCTH_2304300	11579.84184
MYCTH_2120854	11755.46113
MYCTH_2310192	11798.36812
MYCTH_109078	11804.96493
MYCTH_2302133	11836.03646
MYCTH_2298248	11875.31243
MYCTH_2296320	11915.36449
MYCTH_2313651	11918.46888
