gene_id	normalized_counts
MYCTH_2304388	15660.49249
MYCTH_2298813	15746.3108
MYCTH_2310832	15810.71951
MYCTH_2311673	16028.80357
MYCTH_2300889	16073.33194
MYCTH_2309725	16090.18376
MYCTH_2297465	16117.92028
MYCTH_2307312	16233.30423
MYCTH_2295109	16266.28821
MYCTH_2308828	16276.75313
MYCTH_2296711	16294.5045
MYCTH_2302034	16345.5697
MYCTH_2137832	16381.43228
MYCTH_117625	16425.81072
MYCTH_2132225	16481.31376
MYCTH_2092357	16485.99148
MYCTH_2300427	16520.26483
MYCTH_2295707	16560.20543
MYCTH_2305158	16605.87325
MYCTH_2305149	16615.8584
MYCTH_2301508	16735.35035
MYCTH_2306290	16746.32502
MYCTH_2295633	16800.83854
MYCTH_43573	16805.09647
MYCTH_2297826	16817.69035
MYCTH_2302752	16838.41029
MYCTH_2302191	16851.90373
MYCTH_101105	16865.03735
MYCTH_2300651	16924.52845
MYCTH_2312176	17099.46347
MYCTH_2307166	17165.25151
MYCTH_2299698	17203.54291
MYCTH_2298478	17247.6215
MYCTH_2312849	17258.38627
MYCTH_2308489	17362.58565
MYCTH_2303933	17369.57226
MYCTH_2311077	17383.24562
MYCTH_2297768	17446.87471
MYCTH_2311300	17457.00978
MYCTH_2294252	17478.95912
MYCTH_2313564	17496.5006
MYCTH_2302094	17586.99664
MYCTH_2295898	17612.84408
MYCTH_2296084	17713.80504
MYCTH_2306085	17758.87315
MYCTH_2301098	17843.79189
MYCTH_2297808	17918.69551
MYCTH_2312770	18111.77172
MYCTH_2294706	18132.1918
MYCTH_112805	18144.66574
MYCTH_114482	18189.25408
MYCTH_2296676	18604.28247
MYCTH_2307442	18631.53922
MYCTH_2301080	18632.58872
MYCTH_2313023	18636.27692
MYCTH_2307212	18666.41228
MYCTH_2311660	18674.65828
MYCTH_2315372	18905.81599
MYCTH_2300639	18957.96066
MYCTH_2302206	18988.57578
MYCTH_2295135	19007.10678
MYCTH_2298375	19023.35889
MYCTH_2300093	19099.7018
MYCTH_2308951	19276.9457
MYCTH_2299299	19405.4033
MYCTH_2309107	19544.3558
MYCTH_2308345	19790.32631
MYCTH_2300655	19851.01683
MYCTH_2308439	20011.25899
MYCTH_2314369	20096.23771
MYCTH_2311735	20111.8901
MYCTH_2299373	20144.30436
MYCTH_2301639	20191.5614
MYCTH_2310162	20367.60588
MYCTH_2106971	20498.76217
MYCTH_2306802	20649.76882
MYCTH_2312532	20752.94869
MYCTH_2304087	20969.44352
MYCTH_2311356	21031.78324
MYCTH_2314005	21036.94074
MYCTH_2303595	21090.04494
MYCTH_2308099	21123.44871
MYCTH_2089248	21131.18495
MYCTH_2088816	21219.1922
MYCTH_2316157	21265.45973
MYCTH_2302719	21332.86698
MYCTH_2313207	21575.89892
MYCTH_2302257	21589.54229
MYCTH_2049620	21611.67154
MYCTH_2297296	21697.45987
MYCTH_2314205	21701.38796
MYCTH_2116851	21773.83277
MYCTH_2297436	21777.85082
MYCTH_2141696	21781.20919
MYCTH_38939	21923.37013
MYCTH_2303534	21930.89647
MYCTH_2315637	21932.12588
MYCTH_2296410	22035.99542
MYCTH_2307570	22037.55466
MYCTH_2296525	22152.51881
MYCTH_2304915	22156.92667
MYCTH_2304585	22177.49668
MYCTH_2299167	22210.06086
MYCTH_74772	22239.05678
MYCTH_2295934	22284.18485
MYCTH_55542	22450.0043
MYCTH_2135843	22496.93151
MYCTH_78119	22607.63773
MYCTH_2116960	22681.55182
MYCTH_2302605	22728.95879
MYCTH_112411	22779.87406
MYCTH_2312847	22921.19541
MYCTH_2300970	22932.58987
MYCTH_2295930	22939.45654
MYCTH_2301927	22963.44488
MYCTH_2093728	22965.84372
MYCTH_2303275	22999.21751
MYCTH_105063	23040.86727
MYCTH_76163	23065.45533
MYCTH_20364	23074.21108
MYCTH_2306276	23090.73305
MYCTH_2301456	23144.37699
MYCTH_2303431	23185.03724
MYCTH_2305213	23335.62409
MYCTH_2306954	23354.06513
MYCTH_2299291	23455.74574
MYCTH_2310737	23512.14834
MYCTH_2303498	23576.52706
MYCTH_2312329	23612.02982
MYCTH_2301841	23713.83036
MYCTH_2314338	23822.88739
MYCTH_2296599	23962.2297
MYCTH_2133010	24029.42705
MYCTH_2311951	24104.36065
MYCTH_2302765	24221.99351
MYCTH_2305132	24343.01472
MYCTH_2294261	24397.16841
MYCTH_2296162	24685.8082
MYCTH_2303810	24770.42709
MYCTH_2309314	24845.18078
MYCTH_2296969	24971.59937
