gene_id	normalized_counts
MYCTH_2297943	1502.708534
MYCTH_2297489	1720.788427
MYCTH_2303275	2104.734787
MYCTH_2302238	2163.210721
MYCTH_2298163	2369.599305
MYCTH_2301662	3315.445881
MYCTH_2135627	3344.52874
MYCTH_105063	3349.929842
MYCTH_2294293	3537.860505
MYCTH_2302851	3563.204139
MYCTH_2297887	3955.268771
MYCTH_2303031	4002.632283
MYCTH_2302773	4176.852455
MYCTH_2306802	4188.540995
MYCTH_2294394	4341.766112
MYCTH_2295637	4420.594508
MYCTH_2302460	4536.925943
MYCTH_2311602	4633.536429
MYCTH_2300760	5071.801259
MYCTH_108157	5496.660277
MYCTH_2303859	5550.975977
MYCTH_2306514	5627.920912
MYCTH_2295731	5706.416932
MYCTH_2312083	6000.48618
MYCTH_2296531	6041.423765
MYCTH_2298655	6085.602012
MYCTH_2307114	6104.630511
MYCTH_2296918	6180.467527
MYCTH_2308814	6203.872304
MYCTH_2303736	6318.486465
MYCTH_2303360	6358.260736
MYCTH_2311439	6404.710216
MYCTH_2036258	6514.560328
MYCTH_2299335	6554.666975
MYCTH_2312038	6572.726045
MYCTH_2314150	6583.832927
MYCTH_2305190	6671.524671
MYCTH_2303296	6679.169308
MYCTH_2305747	6689.05748
MYCTH_2051009	6720.439269
MYCTH_2302001	6932.882627
MYCTH_2300393	6943.740227
MYCTH_73867	7244.567777
MYCTH_2306422	7299.271249
MYCTH_77195	7499.72139
MYCTH_2316209	7503.377521
MYCTH_57338	7587.440831
MYCTH_84302	7736.040389
MYCTH_2294733	7950.505698
MYCTH_2303887	7998.007701
MYCTH_2293963	8074.20479
MYCTH_2137832	8077.362358
MYCTH_2315877	8149.432451
MYCTH_2302128	8209.453932
MYCTH_2297068	8244.824227
MYCTH_2299167	8259.531844
MYCTH_2305356	8311.327031
MYCTH_112826	8331.29726
MYCTH_2307571	8346.78042
MYCTH_2307929	8371.459303
MYCTH_2303682	8383.7295
MYCTH_2302632	8434.028996
MYCTH_2300328	8436.521812
MYCTH_2301080	8465.133806
MYCTH_2310832	8608.526148
MYCTH_2312526	8622.707503
MYCTH_2087011	8653.17526
MYCTH_2077843	8661.761628
MYCTH_2305681	8725.383843
MYCTH_2057284	8759.119959
MYCTH_2301271	8787.510369
MYCTH_2300213	8841.189016
MYCTH_2296381	8885.810431
MYCTH_2294760	8898.302211
MYCTH_2296558	8951.399202
MYCTH_102965	9006.074976
MYCTH_73708	9073.851885
MYCTH_2302426	9079.114498
MYCTH_2301639	9142.265848
MYCTH_2313651	9161.377441
MYCTH_2085453	9253.33467
MYCTH_2142789	9521.007761
MYCTH_2307666	9539.177623
MYCTH_2051026	9649.969465
MYCTH_2134282	9670.936822
MYCTH_2300913	9947.556354
MYCTH_2299149	9949.10744
MYCTH_73194	10067.98709
MYCTH_2306426	10157.58999
MYCTH_2306968	10188.25163
MYCTH_99686	10203.04234
MYCTH_19035	10216.53125
MYCTH_2305025	10284.86212
MYCTH_2302045	10295.969
MYCTH_2302294	10323.47307
MYCTH_2301182	10365.71246
MYCTH_2305288	10499.21663
MYCTH_2295250	10610.92251
MYCTH_2311559	10612.4736
MYCTH_2302034	10686.53794
MYCTH_2114710	10700.27613
MYCTH_2308537	10726.03523
MYCTH_2306898	10861.89373
MYCTH_2315637	10916.5972
MYCTH_2297369	11016.39295
MYCTH_2295881	11022.40341
MYCTH_74772	11028.27538
MYCTH_2063420	11051.48627
MYCTH_2302174	11067.77267
MYCTH_2303752	11175.82242
MYCTH_2297018	11216.37223
MYCTH_75151	11322.20614
MYCTH_2299008	11359.26601
MYCTH_98303	11367.93547
MYCTH_2304999	11394.85789
MYCTH_2091488	11420.5616
MYCTH_2311077	11507.14542
MYCTH_2306522	11521.24368
MYCTH_2304287	11579.57559
MYCTH_2295930	11590.37779
MYCTH_2301729	11701.22503
MYCTH_2316024	11953.71964
MYCTH_54923	12073.54102
MYCTH_2300317	12098.2199
MYCTH_2122256	12142.03807
MYCTH_2305621	12253.57776
MYCTH_2308099	12290.30526
MYCTH_2313408	12297.00816
MYCTH_2300548	12303.37869
MYCTH_2301062	12369.54912
MYCTH_2306960	12378.10779
MYCTH_104076	12414.36442
MYCTH_2296676	12422.53532
MYCTH_2296586	12439.54187
MYCTH_2311333	12465.43946
MYCTH_2142854	12575.76044
MYCTH_2299460	12658.82662
MYCTH_2297436	12675.3623
MYCTH_2301721	12697.1052
MYCTH_2311356	12820.41652
MYCTH_2139768	12930.6821
MYCTH_2309620	13014.08066
MYCTH_2308660	13073.18811
MYCTH_2312770	13146.6708
MYCTH_2304281	13196.9426
MYCTH_2303534	13273.41667
MYCTH_2302476	13331.49929
MYCTH_2297826	13370.8304
MYCTH_2313331	13433.51088
MYCTH_2310059	13667.86332
MYCTH_2306820	13672.71047
MYCTH_2311164	13679.13639
MYCTH_2298452	13713.26028
MYCTH_2311467	13750.65253
MYCTH_2294738	13796.57575
MYCTH_2089545	13825.18774
MYCTH_39694	13948.74834
MYCTH_2309909	13993.00968
MYCTH_2309146	14091.72522
MYCTH_2294392	14118.86922
MYCTH_2300227	14195.1494
MYCTH_2298800	14207.03183
MYCTH_101105	14238.21973
MYCTH_2311689	14301.0941
MYCTH_2307713	14386.57001
MYCTH_2309927	14532.81524
MYCTH_2304739	14637.31964
MYCTH_76163	14678.06334
MYCTH_2296700	14720.82899
MYCTH_2300889	14747.66832
MYCTH_2298929	14797.63544
MYCTH_2308740	14801.67934
MYCTH_2312447	15001.21545
MYCTH_2300740	15117.10372
MYCTH_2294713	15156.46252
MYCTH_2120854	15183.57882
MYCTH_2308030	15329.96254
MYCTH_2308517	15331.04276
MYCTH_2296228	15449.72852
