gene_id	normalized_counts
MYCTH_2309647	1890.332088
MYCTH_2307178	2047.002112
MYCTH_2306514	2145.421902
MYCTH_2309848	2205.387436
MYCTH_2296654	2361.599879
MYCTH_2295973	2816.044715
MYCTH_2302278	3368.341741
MYCTH_2299189	3832.773331
MYCTH_117620	3837.674192
MYCTH_2309620	4082.94228
MYCTH_108416	4200.737974
MYCTH_2301261	4647.066384
MYCTH_2304984	5050.362234
MYCTH_2308660	5076.966908
MYCTH_2301155	5128.726
MYCTH_2308872	5229.843764
MYCTH_2302460	5390.346961
MYCTH_2309471	5526.295844
MYCTH_2311559	5563.477376
MYCTH_2143314	5618.48704
MYCTH_2311072	5619.137154
MYCTH_2309871	5846.077023
MYCTH_2308603	5853.953406
MYCTH_2118610	5891.209951
MYCTH_2305621	5927.716365
MYCTH_2304929	5931.967112
MYCTH_19035	6007.6054
MYCTH_2314567	6038.560838
MYCTH_2306485	6059.539523
MYCTH_112826	6082.643582
MYCTH_2310812	6222.868216
MYCTH_2312038	6245.972275
MYCTH_2296558	6253.623619
MYCTH_2300548	6351.19076
MYCTH_2316017	6491.065332
MYCTH_2297489	6563.378036
MYCTH_2295637	6831.850201
MYCTH_2311737	7056.089594
MYCTH_2126987	7064.266031
MYCTH_2302517	7088.745331
MYCTH_2304999	7161.558123
MYCTH_2295283	7298.607199
MYCTH_2086729	7351.291455
MYCTH_2314150	7568.154552
MYCTH_2302045	7617.988307
MYCTH_116237	7642.967695
MYCTH_108157	7929.743075
MYCTH_2299100	7960.073404
MYCTH_2307842	8014.607984
MYCTH_2299039	8050.089217
MYCTH_2300328	8088.771013
MYCTH_2294713	8092.646694
MYCTH_2135152	8162.834024
MYCTH_2314005	8334.589198
MYCTH_2306522	8340.490234
MYCTH_2299149	8459.911214
MYCTH_98107	8465.912268
MYCTH_2294326	8700.50348
MYCTH_2308623	8746.086488
MYCTH_2097810	8756.413302
MYCTH_44053	8869.058092
MYCTH_2300121	8887.911404
MYCTH_2311300	8945.09645
MYCTH_2313324	8965.174977
MYCTH_2307929	9057.841257
MYCTH_2297369	9081.59543
MYCTH_2313872	9111.100613
MYCTH_2306496	9149.032277
MYCTH_2308696	9160.359267
MYCTH_2296918	9279.780246
MYCTH_2299988	9281.305514
MYCTH_2293963	9416.029182
MYCTH_2308212	9437.082881
MYCTH_2301553	9556.678891
MYCTH_2296379	9709.180682
MYCTH_2308827	9858.606933
MYCTH_2306422	9909.390854
MYCTH_2297882	9979.278132
MYCTH_2294252	10045.16471
MYCTH_2050447	10058.7921
MYCTH_2137832	10173.56226
MYCTH_75536	10209.6186
MYCTH_2306610	10226.1465
MYCTH_73867	10239.32382
MYCTH_2302426	10266.10352
MYCTH_2306298	10266.10352
MYCTH_2308997	10283.30654
MYCTH_2298937	10293.95841
MYCTH_115944	10391.82561
MYCTH_2297332	10422.58101
MYCTH_2303887	10471.68964
MYCTH_2294640	10572.2073
MYCTH_2136117	10615.73994
MYCTH_2307110	10617.39023
MYCTH_2298626	10663.37331
MYCTH_2312526	10916.91785
MYCTH_2298341	11028.56247
MYCTH_2315877	11050.01624
MYCTH_2298464	11189.36572
MYCTH_2295768	11233.97355
MYCTH_2085453	11258.20281
MYCTH_2142854	11272.73036
MYCTH_2304303	11275.15579
MYCTH_2307166	11293.08394
MYCTH_2301077	11341.99253
MYCTH_2295881	11392.12634
MYCTH_2302852	11477.81639
MYCTH_2305076	11556.55522
MYCTH_2308099	11624.89223
MYCTH_2301080	11652.047
MYCTH_2311602	11672.90066
MYCTH_2296084	11707.10667
MYCTH_2312852	11755.34015
MYCTH_2299642	11762.04132
MYCTH_2311397	11869.06012
MYCTH_2307601	11962.55155
MYCTH_2142129	11967.07734
MYCTH_2295250	11976.12893
MYCTH_2096529	12027.53796
MYCTH_105669	12051.54218
MYCTH_2307666	12154.18521
MYCTH_50254	12165.36218
MYCTH_2298248	12194.31726
MYCTH_66088	12239.95028
MYCTH_2294817	12274.98143
MYCTH_2300889	12286.1834
MYCTH_2302675	12302.13621
MYCTH_2294392	12342.44329
MYCTH_2296381	12357.72097
MYCTH_2301927	12492.01956
MYCTH_2298035	12561.33174
MYCTH_2303752	12602.21392
MYCTH_2299749	12616.51643
MYCTH_2306820	12645.67156
MYCTH_2300608	12907.1925
MYCTH_2308138	12925.9958
MYCTH_2300674	12927.94615
MYCTH_2305356	12985.30622
MYCTH_2312563	12995.05794
MYCTH_2302605	13023.38791
MYCTH_107178	13104.35214
MYCTH_2302238	13111.07832
MYCTH_2298042	13161.28714
MYCTH_2295089	13267.20575
MYCTH_2139484	13277.33253
MYCTH_46410	13687.95466
MYCTH_2299335	13688.67979
MYCTH_2305190	13710.48362
MYCTH_2314883	13794.52338
MYCTH_2301639	13833.00514
MYCTH_2311077	13854.30889
MYCTH_2304940	14042.46694
MYCTH_2294293	14097.70165
MYCTH_2299254	14113.22937
MYCTH_2298716	14134.93319
MYCTH_2302851	14147.18534
MYCTH_2308740	14204.54542
MYCTH_2096067	14236.22598
MYCTH_2305681	14236.47602
MYCTH_2311164	14264.25591
MYCTH_2132486	14333.81813
MYCTH_73682	14345.89525
MYCTH_113715	14359.19758
MYCTH_2308924	14412.782
MYCTH_2295813	14442.48722
MYCTH_2313023	14490.64568
MYCTH_2313559	14617.01788
MYCTH_2309915	14617.56797
MYCTH_2302174	14660.70055
MYCTH_2310059	14660.80057
MYCTH_110871	14779.42141
MYCTH_2297436	14793.57389
MYCTH_2311333	14890.69096
MYCTH_2310565	14945.80064
MYCTH_76163	14947.12587
MYCTH_78432	14976.306
MYCTH_2306276	14976.53104
MYCTH_2297571	14976.65606
MYCTH_2073132	14981.58192
MYCTH_2057284	15005.26108
MYCTH_2312676	15235.17647
MYCTH_99686	15382.70239
MYCTH_2295764	15391.2789
MYCTH_2306539	15459.66591
MYCTH_2296115	15529.42817
MYCTH_74504	15531.22848
MYCTH_2141262	15540.23006
MYCTH_2307144	15575.31123
MYCTH_2141513	15610.81747
MYCTH_39694	15716.9111
MYCTH_2309927	15744.54096
MYCTH_101105	15811.70276
MYCTH_2312770	15829.38086
MYCTH_2311786	15984.13305
MYCTH_2295952	16053.02015
MYCTH_2134135	16075.89917
MYCTH_2294366	16105.32934
MYCTH_2132225	16138.43516
MYCTH_2294394	16174.5665
MYCTH_2299288	16212.64819
MYCTH_2139768	16233.00177
MYCTH_2314374	16291.8371
MYCTH_2299585	16394.70518
MYCTH_2309223	16402.58156
MYCTH_78119	16402.60656
MYCTH_2307312	16442.22352
MYCTH_2299308	16478.44489
MYCTH_2301098	16508.47516
MYCTH_2305067	16576.86218
MYCTH_2311689	16617.59433
MYCTH_2313529	16673.35413
MYCTH_2306984	16849.28504
MYCTH_2306388	16851.46042
MYCTH_2302034	16856.56131
MYCTH_49818	16881.24065
MYCTH_2299456	16975.33218
MYCTH_79440	17035.49275
MYCTH_2296994	17185.14404
MYCTH_2308030	17268.78373
MYCTH_2299460	17277.21021
MYCTH_2310192	17395.23095
MYCTH_2296350	17508.07577
MYCTH_2294240	17517.27739
MYCTH_2298606	17578.36312
MYCTH_2311944	17582.46384
MYCTH_106463	17587.53973
MYCTH_2132689	17624.57124
MYCTH_2309314	17655.95175
MYCTH_2301019	17717.91263
MYCTH_2304663	17759.06986
MYCTH_2314543	17790.62541
MYCTH_2076088	17806.10313
MYCTH_2303595	17862.78809
MYCTH_2315637	17863.06313
MYCTH_2301729	17879.74106
MYCTH_2301126	17913.34697
MYCTH_2312083	17958.82996
MYCTH_2311673	18004.66301
MYCTH_2093728	18045.67021
MYCTH_2313124	18087.97765
MYCTH_2294039	18094.35377
MYCTH_2308537	18351.97402
MYCTH_2300093	18355.77469
MYCTH_2293982	18417.8856
MYCTH_2309725	18429.73769
MYCTH_2305288	18498.24972
MYCTH_122939	18514.40256
MYCTH_2306835	18543.85773
MYCTH_2092357	18669.10474
MYCTH_2307432	18680.08167
MYCTH_2301287	18777.74882
MYCTH_2306960	18792.25137
MYCTH_2296599	18807.85411
MYCTH_2294261	18822.63171
MYCTH_2304722	18970.05761
MYCTH_75151	18973.08314
MYCTH_2306429	19002.13824
MYCTH_2304715	19141.56274
MYCTH_2302123	19166.16706
MYCTH_2296336	19231.40352
MYCTH_98303	19274.48609
MYCTH_2079864	19307.71693
MYCTH_2120854	19314.89319
MYCTH_2309418	19524.48001
MYCTH_2305828	19578.43949
MYCTH_2078041	19612.27043
MYCTH_2295922	19679.00715
MYCTH_2298452	19685.95837
MYCTH_2295039	19701.73615
MYCTH_2294730	19785.97595
MYCTH_2299031	19807.67976
MYCTH_2309107	19843.28601
MYCTH_2303614	19857.93859
MYCTH_74015	19861.28918
MYCTH_2304739	19876.89192
MYCTH_113457	19887.71882
MYCTH_74487	19908.34744
MYCTH_2302273	19989.66173
MYCTH_2310272	20184.94604
MYCTH_2300427	20213.65108
MYCTH_2294310	20259.08406
MYCTH_2304947	20301.04143
MYCTH_2297590	20488.67439
MYCTH_2304928	20506.9526
MYCTH_2139057	20608.72048
MYCTH_2299001	20611.646
MYCTH_2303933	20640.65109
MYCTH_2294414	20645.827
MYCTH_2306802	20697.6361
MYCTH_2306934	20743.89423
MYCTH_2300655	20788.82712
MYCTH_2312480	20864.26538
MYCTH_2310832	20942.82918
MYCTH_2307212	21075.50249
MYCTH_2111167	21086.20437
MYCTH_2298505	21244.98226
MYCTH_2303275	21264.11062
MYCTH_2306532	21354.10143
MYCTH_2295254	21357.02694
MYCTH_84911	21423.26358
MYCTH_2300970	21430.58987
MYCTH_2298921	21476.42292
MYCTH_2305025	21500.17709
MYCTH_2294816	21536.15841
MYCTH_2303534	21563.31318
MYCTH_2308630	21648.07807
MYCTH_2300119	21661.08036
MYCTH_2304087	21728.91728
MYCTH_2082522	21767.57407
MYCTH_2302897	21779.87623
MYCTH_2296162	21861.6656
MYCTH_2298141	22109.90921
MYCTH_2302739	22174.49555
MYCTH_107142	22207.60137
MYCTH_2310035	22335.19879
MYCTH_112805	22349.30126
MYCTH_2295135	22381.73196
MYCTH_2311660	22407.13642
MYCTH_109638	22444.36796
MYCTH_47844	22551.66181
MYCTH_2297796	22601.04549
MYCTH_2303480	22652.67956
MYCTH_2306147	22667.45716
MYCTH_2302277	22724.66721
MYCTH_2307429	22770.25021
MYCTH_2309909	22777.62651
MYCTH_74772	22812.43263
MYCTH_2300713	22837.46202
MYCTH_2302738	22842.38789
MYCTH_2303498	22898.09767
MYCTH_2304140	22930.7034
MYCTH_2303810	22954.18253
MYCTH_2300709	23207.37701
MYCTH_2082040	23246.93396
MYCTH_52160	23372.55603
MYCTH_2295196	23427.74072
MYCTH_2306931	23485.00078
MYCTH_96869	23501.82874
MYCTH_2300156	23558.73873
MYCTH_2300105	23604.14671
MYCTH_2302259	23631.4265
MYCTH_2127963	23683.56066
MYCTH_2302476	23792.57981
MYCTH_2304994	23841.38839
MYCTH_2299569	23897.37322
MYCTH_2296462	23905.04957
MYCTH_2299657	23975.08688
MYCTH_2300308	23997.71585
MYCTH_2302072	24294.21794
MYCTH_2308658	24294.39297
MYCTH_2294472	24352.90325
MYCTH_64792	24621.35041
MYCTH_2295923	24624.32593
MYCTH_2296504	24679.83569
MYCTH_2307289	24845.48979
MYCTH_2302206	24869.59402
MYCTH_2308951	24884.34661
MYCTH_2294962	24969.28654
MYCTH_2304585	24997.94157
MYCTH_2312447	25058.85227
MYCTH_2309828	25140.4166
MYCTH_2306426	25298.81943
MYCTH_2314749	25381.70899
MYCTH_2068493	25420.71584
MYCTH_2296852	25466.97397
MYCTH_2314483	25500.47985
MYCTH_2312108	25583.64446
MYCTH_2295767	25592.89609
MYCTH_2049934	25662.50832
MYCTH_2308790	25678.01104
MYCTH_2297296	25709.76662
MYCTH_2314205	25808.28393
MYCTH_2297367	25844.5403
MYCTH_2296824	25845.74051
MYCTH_2301308	25893.29886
MYCTH_2116960	26087.83304
MYCTH_2312847	26154.34472
MYCTH_2297322	26270.61515
MYCTH_2303512	26280.11682
MYCTH_2142157	26392.88663
MYCTH_2311356	26393.23669
MYCTH_2296676	26444.64572
MYCTH_2307600	26449.14651
MYCTH_2297018	26509.65714
MYCTH_2308852	26560.41606
MYCTH_70246	26606.67419
MYCTH_2308004	26766.7023
MYCTH_79157	26853.96763
MYCTH_2306968	26946.93396
MYCTH_117625	27093.65974
MYCTH_2312823	27192.27706
MYCTH_2124049	27258.28866
MYCTH_2310737	27271.0409
MYCTH_2305148	27521.85996
MYCTH_2057433	27540.63826
MYCTH_2296969	27581.8455
MYCTH_2306143	27627.55353
MYCTH_2294471	27686.61391
MYCTH_2314413	27725.8708
MYCTH_2298524	27728.37124
MYCTH_55928	27775.12946
MYCTH_2300639	27789.63201
MYCTH_77059	27807.63517
MYCTH_2302467	27917.6545
MYCTH_2316540	27983.66609
MYCTH_2305507	28017.42202
MYCTH_2305213	28073.68191
MYCTH_73194	28125.94109
MYCTH_2089196	28233.30995
MYCTH_2298958	28280.96832
MYCTH_2306255	28434.99538
MYCTH_2299573	28437.24578
MYCTH_2296586	28467.001
MYCTH_2306019	28627.52921
MYCTH_2311735	28638.73117
MYCTH_67016	28646.2825
MYCTH_2294631	28741.47422
MYCTH_2307479	28823.3136
MYCTH_2295633	28867.82142
MYCTH_2313207	28959.83758
MYCTH_2306706	29216.38265
MYCTH_2304281	29269.31695
MYCTH_2313270	29287.39513
MYCTH_2306297	29350.15615
MYCTH_2309794	29374.96051
MYCTH_2311384	29471.6775
