reaction,flux
R2,3.0296748813420677
R3,0.9997927108428823
R6,2.7597895620774118
R7,2.563862257182657
R9,3.870632231764285
R14,5.913973564077964
R17,0.13572752284937967
R22,0.12377009317813553
R25,0.13727984906261848
R40,5.047137011451486
R46,0.5890444943920329
R50,5.205299206719044
R51,5.205299206719044
R67,0.26988531926465575
R70,0.26988531926465575
R74,0.15726053270756063
R104,0.14022905951600234
R108,0.27162053655680635
R115,0.27941210113276277
R145,0.7805327461793583
R254,0.9978034947580023
R619,0.12377009317813553
R802,0.19050324654419568
R905,0.15816219526755804
R906,0.15816219526755804
R914,0.15743461206752615
R930,0.30680708798499756
R1013,0.6580516631115647
R1033,0.2548851894530976
R1036,2.5800839440005663
R1044,2.5800839440005663
R1086,0.13572752284937967
R1116,0.39204361430856177
R1122,1.0912399967272328
R1312,0.8301279580564731
R1597,0.15726053270756063
R1947,0.13727984906261848
R1975,2.8
R2064,0.6136141759699951
R2158,6.193486037491712
R2159,6.19348603749171
R2160,10.90066623398022
R2165,10.414993469689408
R2203,3.5905088293547465
R2238,1.1148934591391304
R2299,5.472305846758352
R2308,1.0565496475762894
R2312,0.12244769451305176
R2325,0.28400455174074507
R2326,0.14022905951600234
R2329,3.4035501067308527
R2391,6.5278909999319445
R2392,4.972657663401348
R2422,1.2169493932275603
R2439,2.5911540363103174
Biomass,0.13727984906261848
R2534,0.13727984906261848
R2535,0.13727984906261848
R2536,0.13727984906261848
R2537,0.13727984906261848
R2538,0.13727984906261848
R38,0.19592730489475502
R39,0.19592730489475502
R58,0.18956287957811788
R110,0.14022905951600234
R687,0.13572752284937967
R1115,0.39204361430856177
R1117,0.39204361430856177
R2201,4.972657663401348
R2202,6.5278909999319445
R2204,1.2169493932275603
R2205,2.5911540363103174
R2310,0.27941210113276277
R2311,0.26521324670553503
R2328,17.003284700771626
R2330,0.6163225769761411
R2393,1.1148934591391304
R2396,3.5905088293547465
R2399,3.06
R2400,5.5205389926834485
R32,2.5898910616989412
R36,4.883924998900939
R42,5.047137011451486
R43,2.571895769342557
R53,0.10501633893592319
R56,0.26988531926465575
R66,0.26988531926465575
R114,0.53429729058586
R247,0.156964406619711
R465,0.12377009317813553
R1378,1.053827123580594
R2250,3.06
R10,1.2169493932275603
R2306,10.464640722984512
