reaction,flux
R2,3.0021757497821384
R3,0.9907179974281056
R6,3.002175749782139
R7,2.2145515444940385
R9,0.1216388205209912
R21,0.5966457752715429
R22,0.23600609508409945
R25,0.26176663747334467
R40,4.65154962859152
R46,3.3475069801038693
R50,4.652936991770129
R51,4.652936991770129
R54,0.20047190219906932
R55,0.4140279918473297
R60,0.4140279918473297
R61,0.1344488506173006
R62,0.1344488506173006
R74,0.2998660119108081
R104,5.382858740251807
R107,0.580157325131736
R109,2.294952126871541
R111,2.1975316415296167
R112,1.6921861429092142
R115,0.5303776341744076
R117,1.7106668675148327
R118,1.6921861429092142
R128,0.48782938407387355
R145,1.1359351191890485
R185,0.10439253502436985
R238,0.1316947953128397
R240,0.1316947953128397
R254,1.4215867404051736
R619,0.23600609508409945
R802,0.4295066987662637
R880,0.1216388205209912
R923,0.48782938407387355
R1033,2.62800295035497
R1036,2.2927954674776205
R1044,2.2927954674776205
R1312,1.4505291173608619
R1583,0.16548886821064848
R1597,0.2998660119108081
R1822,0.16043677210741294
R1823,0.10439253502436985
R1824,0.10439253502436985
R1825,0.10439253502436985
R1830,0.16043677210741294
R1836,0.10439253502436985
R1864,0.10439253502436985
R1962,9.143511173303162
R1974,0.26176663747334467
R1975,2.8
R2157,12.32247187376008
R2158,5.376492341986534
R2159,5.376492341986534
R2160,20.306645450550576
R2165,21.46933112402601
R2203,7.3668733023973845
R2238,1.9578767831318413
R2299,12.168108552016575
R2308,3.7210217951145848
R2313,2.8201505248868908
R2314,2.3148050262664883
R2316,2.9175710102288153
R2325,0.5415428196048555
R2326,0.7731015871137776
R2329,7.260001757644848
R2391,12.584978553764444
R2392,7.777630757175819
Biomass,0.26176663747334467
R2534,0.26176663747334467
R2535,0.26176663747334467
R2536,0.26176663747334467
R2537,0.26176663747334467
R2538,0.26176663747334467
R2560,0.10439253502436985
R2602,0.48782938407387355
R2603,0.48782938407387355
R38,0.7876242052881003
R39,0.7876242052881003
R58,0.21355608964826034
R105,3.087906613380266
R2201,7.777630757175819
R2202,12.584978553764444
R2310,0.5303776341744076
R2312,2.2244781557224296
R2317,0.48782938407387355
R2328,29.26618934290068
R2330,7.493795355203528
R2393,1.9578767831318413
R2396,7.3668733023973845
R2399,3.06
R2400,12.215620311843878
R2601,0.48782938407387355
R36,4.468079965552499
R42,4.65154962859152
R43,2.277182171266215
R56,0.4140279918473297
R114,3.1583805845293775
R165,0.10881639119766938
R174,0.11577938375446035
R237,0.1316947953128397
R239,0.1316947953128397
R247,0.2471065016483073
R465,0.23600609508409945
R929,0.17155545662341173
R1122,1.9302939634554566
R1244,0.11577938375446035
R1378,1.8589547095978454
R1835,0.16043677210741294
R2161,0.21581241941759785
R2250,3.06
R2306,21.492035453327283
