reaction,flux
R2,1.9555697407907762
R6,1.31023172632982
R7,1.31023172632982
R21,0.46057507295550326
R22,0.18133935053262715
R25,0.20113290723958147
R36,2.7277983222092725
R40,2.872756853978507
R42,2.872756853978507
R43,1.3985084300582946
R46,1.8707732108894095
R50,2.872756853978507
R51,2.872756853978507
R54,0.1540360410262496
R55,0.31812554297450946
R56,0.31812554297450946
R60,0.31812554297450946
R61,0.10330609148933806
R62,0.10330609148933806
R74,0.23040721820060572
R104,2.7516917733548776
R107,0.44577387930869394
R109,1.028177823390678
R111,0.9737110321101987
R112,0.5967469086941888
R114,1.7254546854088113
R115,0.4075247958487929
R117,0.9409657661440083
R118,0.5967469086941888
R128,0.37696412341600927
R145,0.8717493213464259
R237,0.10118996563223309
R238,0.10118996563223309
R239,0.10118996563223309
R240,0.10118996563223254
R250,0.25421572738698583
R254,1.091234667483213
R465,0.18133935053262715
R619,0.18133935053262715
R923,0.37696412341600927
R1033,1.3179298895600176
R1036,1.4105051752848996
R1044,1.4105051752848996
R1116,0.7034878909723227
R1122,1.428707842600608
R1276,1.060072254743535
R1378,0.31382084268106003
R1583,0.1271562239568634
R1597,0.23040721820060572
R1598,0.6453380144609562
R1822,0.12327435884713948
R1830,0.12327435884713948
R1835,0.12327435884713948
R1974,0.20113290723958147
R1975,2.8
R2157,5.975574698918062
R2158,6.949285731028262
R2159,6.949285731028262
R2160,17.489458495159578
R2165,17.736244201902252
R2203,3.553241644222028
R2238,1.5043683687471014
R2250,2.0
R2299,10.05091738233891
R2308,2.1577697562295683
R2311,0.8752722943358342
R2315,0.37696412341600927
R2324,0.19974893610650646
R2325,0.47057054977772483
R2326,1.7235139499641994
R2329,3.474642865514131
R2391,7.562662743946637
R2392,3.868854213674575
Biomass,0.20113290723958147
R2534,0.20113290723958147
R2535,0.20113290723958147
R2536,0.20113290723958147
R2537,0.20113290723958147
R2538,0.20113290723958147
R2602,0.37696412341600927
R2603,0.37696412341600927
R58,0.16408950194825977
R105,1.6896672238807549
R1080,1.0769569077459404
R1115,0.7034878909723227
R1117,0.7034878909723227
R2201,3.868854213674575
R2202,7.562662743946637
R2306,18.13065358802769
R2310,0.40752479584879375
R2312,0.7720213605590812
R2317,0.37696412341600927
R2328,21.76862210047423
R2330,3.649698386486494
R2393,1.5043683687471014
R2396,3.553241644222028
R2399,2.0
R2400,10.0874238618291
R2601,0.37696412341600927
R929,0.13288359612494371
