reaction,flux
R1,3.002118236929992
R6,2.011419218743095
R7,2.011419218743095
R9,2.1601196862539243
R17,1.3630381740415316
R25,0.2620269944319067
R40,4.516344805864284
R43,2.2418814169492167
R46,1.0282287030223007
R50,4.516344805864284
R51,4.516344805864284
R54,0.16910472758553127
R55,0.41739537542876115
R60,0.41739537542876115
R61,0.16910472758553127
R62,0.16910472758553127
R105,7.395075743225601
R108,0.48012348692331486
R111,11.489497631480917
R128,1.8541302465570462
R145,1.1356761939426065
R185,0.10449636537944439
R238,0.13182578089869226
R239,0.13182578089869226
R240,0.13182578089869226
R254,1.4216119284744257
R278,0.10061087124102991
R286,1.363038174041533
R291,1.363038174041533
R781,0.30016426306913285
R802,0.44843299827076577
R880,1.4847979783275278
R923,1.8541302465570462
R1001,1.3631650475122368
R1033,2.302563244827812
R1036,2.257510242375323
R1044,2.257510242375323
R1122,2.4810757278230042
R1187,0.10061087124103087
R1312,1.9959337957403132
R1448,0.1444165523342259
R1455,0.5333158039409441
R1566,0.19933584501311397
R1583,0.1656534658798514
R1597,0.30016426306913285
R1598,0.9906990181868973
R1822,0.1605963448873156
R1823,0.10449636537944439
R1824,0.10449636537944439
R1825,0.10449636537944439
R1830,0.1605963448873156
R1836,0.10449636537944439
R1864,0.10449636537944439
R1913,1.363038174041533
R1974,0.2620269944319067
R1975,2.8
R2158,12.85253580552245
R2159,12.85253580552245
R2160,22.62073446653311
R2165,21.821711026036443
R2203,6.633856614769505
R2238,1.959824116258102
R2299,13.506208700499206
R2308,1.8822385083005033
R2312,7.1477234658060445
R2313,11.388886760239886
R2325,0.5420814460807286
R2329,6.426267902761225
R2391,12.001568422918371
R2392,7.1894391673051645
R2501,0.1444165523342259
Biomass,0.2620269944319067
R2534,0.2620269944319067
R2535,0.2620269944319067
R2536,0.2620269944319067
R2537,0.2620269944319067
R2538,0.2620269944319067
R2560,0.10449636537944439
R2575,1.327368229667922
R2576,0.10061087124102991
R2577,0.10061087124102991
R2578,0.10061087124102991
R2579,0.10061087124102991
R2602,1.8541302465570462
R2603,1.8541302465570462
R58,0.24829064784322988
R104,5.325283707901548
R109,5.325283707901548
R110,7.395075743225601
R783,0.30016426306913285
R1080,1.3210860032406573
R2201,7.1894391673051645
R2202,12.001568422918371
R2311,0.7738705253551939
R2316,5.425894579142579
R2317,1.8541302465570462
R2328,35.398584508211044
R2330,4.036855466443575
R2353,0.1444165523342259
R2393,1.959824116258102
R2396,6.633856614769505
R2399,3.06
R2400,14.544466734410511
R2601,1.8541302465570462
R21,1.9630548681423898
R22,0.23624083022724562
R32,0.5309051555921706
R36,4.231788319717516
R42,4.516344805864284
R56,0.41739537542876115
R114,2.302563244827812
R119,9.51722297735043
R165,0.10892462158534362
R174,0.11589453963723223
R237,0.13182578089869226
R247,0.2473522774195565
R465,0.23624083022724562
R619,0.23624083022724562
R641,1.3630381740415316
R920,1.327368229667922
R929,0.17311483128142785
R1192,0.10061087124102991
R1193,0.16910472758553127
R1194,0.16910472758553127
R1195,0.16910472758553127
R1244,0.11589453963723234
R1378,2.409665518891293
R1678,0.10061087124102991
R1835,0.1605963448873156
R2249,0.9906990181868973
R2251,2.011419218743095
R2306,21.849337842194373
